"Customer ID","Purchase Date","Product Category","Product Price","Quantity","Total Purchase Amount","Payment Method","Customer Age","Returns","Customer Name","Gender","Churn"
"49818","2021-03-08","Home","455","2","4788","Credit Card","67","0","Kaylee Evans","Female","0"
"49818","2022-11-12","Clothing","18","3","3761","PayPal","67","0","Kaylee Evans","Female","0"
"49818","2022-07-17","Books","70","5","4804","PayPal","67","1","Kaylee Evans","Female","0"
"49818","2022-11-17","Electronics","271","1","5101","Credit Card","67","1","Kaylee Evans","Female","0"
"49818","2020-05-25","Clothing","249","4","1399","PayPal","67","1","Kaylee Evans","Female","0"
"49818","2020-04-29","Books","50","4","833","PayPal","67","1","Kaylee Evans","Female","0"
"49818","2021-01-25","Books","91","4","3993","Credit Card","67","1","Kaylee Evans","Female","0"
"49818","2020-05-22","Books","25","2","4608","Credit Card","67","1","Kaylee Evans","Female","0"
"46717","2020-08-22","Home","126","3","4394","PayPal","44","0","Mary Nguyen","Female","0"
"46717","2020-01-25","Electronics","319","4","4076","PayPal","44","1","Mary Nguyen","Female","0"
"46717","2021-09-17","Clothing","38","1","5160","Cash","44","0","Mary Nguyen","Female","0"
"48175","2023-05-14","Home","50","1","1970","Cash","51","1","Nancy Riley","Male","0"
"48175","2023-01-25","Books","473","5","2246","PayPal","51","1","Nancy Riley","Male","0"
"48175","2022-06-25","Books","485","5","2140","Cash","51","1","Nancy Riley","Male","0"
"48175","2021-11-02","Clothing","83","4","887","Cash","51","1","Nancy Riley","Male","0"
"48175","2020-09-29","Home","373","3","4980","PayPal","51","0","Nancy Riley","Male","0"
"48175","2023-04-26","Electronics","334","2","937","Cash","51","0","Nancy Riley","Male","0"
"48175","2021-01-25","Books","77","3","4803","PayPal","51","1","Nancy Riley","Male","0"
"48175","2022-06-06","Home","359","3","2981","Credit Card","51","0","Nancy Riley","Male","0"
"45465","2023-07-18","Books","175","1","3992","PayPal","58","1","Patrick Baker","Female","0"
"45465","2020-02-08","Books","296","5","1925","Credit Card","58","1","Patrick Baker","Female","0"
"45465","2023-08-10","Electronics","199","1","3378","Cash","58","1","Patrick Baker","Female","0"
"45465","2022-11-28","Clothing","132","1","4083","PayPal","58","1","Patrick Baker","Female","0"
"45465","2020-10-15","Home","487","3","747","Cash","58","1","Patrick Baker","Female","0"
"45465","2020-09-28","Books","179","1","2932","PayPal","58","1","Patrick Baker","Female","0"
"45465","2022-03-11","Home","113","2","1573","Cash","58","1","Patrick Baker","Female","0"
"45465","2021-07-18","Home","35","1","3543","Cash","58","0","Patrick Baker","Female","0"
"46183","2021-08-23","Books","347","5","3300","Cash","69","1","Christopher Hawkins","Female","0"
"46183","2022-05-25","Books","269","5","5106","Cash","69","1","Christopher Hawkins","Female","0"
"46183","2023-05-06","Home","168","2","4185","Credit Card","69","1","Christopher Hawkins","Female","0"
"46183","2020-03-16","Electronics","58","2","452","Credit Card","69","0","Christopher Hawkins","Female","0"
"46183","2023-01-23","Books","294","3","1268","PayPal","69","0","Christopher Hawkins","Female","0"
"46183","2020-08-29","Home","276","4","1944","Cash","69","0","Christopher Hawkins","Female","0"
"48259","2022-01-20","Books","158","4","2750","Credit Card","42","1","Melanie Taylor","Female","0"
"48259","2020-01-26","Clothing","115","1","1133","PayPal","42","1","Melanie Taylor","Female","0"
"48259","2021-11-01","Home","97","1","1744","Cash","42","0","Melanie Taylor","Female","0"
"48259","2023-07-30","Home","115","1","4807","PayPal","42","0","Melanie Taylor","Female","0"
"48259","2022-11-23","Clothing","78","4","4620","Cash","42","0","Melanie Taylor","Female","0"
"48259","2021-04-24","Electronics","22","2","1796","Cash","42","1","Melanie Taylor","Female","0"
"48220","2023-08-14","Clothing","244","1","4133","Cash","51","0","Yolanda Washington","Female","1"
"48220","2021-03-04","Home","188","5","1638","Credit Card","51","1","Yolanda Washington","Female","1"
"48220","2022-11-16","Clothing","473","5","2083","PayPal","51","1","Yolanda Washington","Female","1"
"46055","2022-12-04","Books","475","3","4180","Credit Card","41","0","Krista Mullen","Female","0"
"46055","2022-03-18","Home","480","3","3702","PayPal","41","0","Krista Mullen","Female","0"
"46055","2020-02-27","Books","403","5","4825","PayPal","41","1","Krista Mullen","Female","0"
"46055","2023-01-14","Home","432","1","4732","Cash","41","1","Krista Mullen","Female","0"
"48711","2023-04-15","Books","102","5","2025","Cash","65","0","Michael Baker","Female","0"
"48711","2020-08-18","Electronics","159","1","2386","Credit Card","65","0","Michael Baker","Female","0"
"48711","2023-04-29","Electronics","455","2","915","Credit Card","65","1","Michael Baker","Female","0"
"48711","2020-12-11","Books","87","5","2424","Credit Card","65","1","Michael Baker","Female","0"
"48711","2020-10-16","Clothing","230","4","3985","Credit Card","65","1","Michael Baker","Female","0"
"48711","2021-11-17","Home","285","2","5098","Credit Card","65","1","Michael Baker","Female","0"
"48711","2023-05-20","Home","306","5","4947","Cash","65","1","Michael Baker","Female","0"
"48711","2023-07-07","Clothing","258","4","567","Credit Card","65","0","Michael Baker","Female","0"
"48711","2021-03-11","Clothing","326","2","3776","PayPal","65","1","Michael Baker","Female","0"
"49031","2020-06-07","Clothing","483","2","1320","Cash","53","1","Suzanne Martinez","Female","0"
"49031","2020-09-28","Home","477","1","3508","PayPal","53","1","Suzanne Martinez","Female","0"
"49031","2022-04-01","Electronics","379","3","4604","PayPal","53","0","Suzanne Martinez","Female","0"
"49031","2021-11-20","Clothing","268","2","2983","Cash","53","1","Suzanne Martinez","Female","0"
"49031","2022-02-14","Clothing","437","4","4705","Cash","53","1","Suzanne Martinez","Female","0"
"48283","2022-06-02","Books","341","3","2694","Cash","50","1","John Wilcox","Female","0"
"48283","2023-06-19","Books","290","1","3134","Credit Card","50","0","John Wilcox","Female","0"
"48283","2020-09-09","Electronics","278","3","3243","Cash","50","0","John Wilcox","Female","0"
"48283","2020-05-29","Books","187","3","2630","Credit Card","50","0","John Wilcox","Female","0"
"48283","2021-05-14","Home","132","4","2650","Cash","50","1","John Wilcox","Female","0"
"48313","2023-05-10","Electronics","348","5","5039","Cash","19","0","John Simpson","Female","1"
"48313","2020-03-06","Home","407","5","2898","PayPal","19","1","John Simpson","Female","1"
"48313","2022-02-24","Clothing","284","3","960","Cash","19","1","John Simpson","Female","1"
